1 1005 ул. Александра Блока, д. 3, литера А
577 1631 Можайская ул., д. 9, литера А
578 1632 Верейская ул., д. 13а, литера А
579 1632 Верейская ул., д. 13б, литера А
580 1632 Верейская ул., д. 15, литера А
581 1632 Верейская ул., д. 17, литера А
582 1632 Верейская ул., д. 19, литера А
583 1632 Верейская ул., д. 9, литера А
584 1632 Подольская ул., д. 10, литера А
585 1632 Подольская ул., д. 12, литера А
586 1632 Подольская ул., д. 14, литера А
587 1632 Подольская ул., д. 16, литера А
588 1632 Подольская ул., д. 8, литера А
589 1633 Подольская ул., д. 1-3-5, литера А (часть здания)
590 1633 Подольская ул., д. 15, литера А
591 1633 Подольская ул., д. 19, литера А
592 1633 Подольская ул., д. 21, литера А
593 1633 Подольская ул., д. 7, литера А
594 1633 Подольская ул., д. 9-11, литера А
595 1633 Серпуховская ул., д. 12, литера А
596 1633 Серпуховская ул., д. 16, литера А
597 1633 Серпуховская ул., д. 4, литера А
598 1633 Серпуховская ул., д. 6, литера А
599 1633 Серпуховская ул., д. 8, литера А
600 1634 Бронницкая ул., д. 10, литера А
601 1634 Бронницкая ул., д. 12, литера А
602 1634 Бронницкая ул., д. 14б, литера А
603 1634 Бронницкая ул., д. 16, литера А (часть здания)
604 1634 Бронницкая ул., д. 2/70, литера А
605 1634 Серпуховская ул., д. 11, литера А
606 1634 Серпуховская ул., д. 3, литера А
607 1634 Серпуховская ул., д. 5, литера А
608 1634 Серпуховская ул., д. 7, литера А
609 1634 Серпуховская ул., д. 9, литера А
610 1635 Бронницкая ул., д. 1-3, литера А (часть здания)
611 1635 Бронницкая ул., д. 13/19, литера А
612 1635 Бронницкая ул., д. 5, литера В
613 1635 Загородный пр., д. 74, литера А
614 1635 Клинский пр., д. 21, литера А
615 1635 Клинский пр., д. 23, литера А
616 1635 Клинский пр., д. 25, литера А (часть здания)
617 1635 Московский пр., д. 30, литера А
618 1635 Московский пр., д. 32, литера А
619 1635 Московский пр., д. 34, литера А
620 1635 Московский пр., д. 36, литера А
621 1635 Московский пр., д. 38, литера А
622 1635 Московский пр., д. 40, литера А
623 1635 Московский пр., д. 42/27, литера А
624 1636 1-я Красноармейская ул., д. 2, литера А
625 1636 1-я Красноармейская ул., д. 4, литера А
626 1636 1-я Красноармейская ул., д. 6, литера А
627 1636 1-я Красноармейская ул., д. 8-10, литера А
628 1636 1-я Красноармейская ул., д. 8-10, литера Б
629 1636 2-я Красноармейская ул., д. 3, литера А
630 1636 2-я Красноармейская ул., д. 5, литера А
631 1636 2-я Красноармейская ул., д. 7/4, литера А
632 1636 Московский пр., д. 25/1, литера А
633 1636 Московский пр., д. 25/1, литера Б
634 1637 1-я Красноармейская ул., д. 18, литера А
635 1637 1-я Красноармейская ул., д. 18, литера Б
636 1637 1-я Красноармейская ул., д. 20, литера А
637 1637 1-я Красноармейская ул., д. 24, литера А
638 1637 1-я Красноармейская ул., д. 24, литера Б
639 1637 2-я Красноармейская ул., д. 19, литера А
640 1638 Измайловский пр., д. 4, литера А
641 1640 Троицкий пр., д. 4, литера Б (часть здания)
642 1641 13-я Красноармейская ул., д. 13, литера А
643 1641 13-я Красноармейская ул., д. 15, литера А
644 1641 13-я Красноармейская ул., д. 17б, литера А
645 1641 13-я Красноармейская ул., д. 19, литера А
646 1641 13-я Красноармейская ул., д. 23, литера А
647 1641 Троицкий пр., д. 6, литера Б
648 1641 Троицкий пр., д. 8, литера А
649 1641 Троицкий пр., д. 18, литера А
650 1641 Троицкий пр., д. 20/36, литера А
651 1642 13-я Красноармейская ул., д. 4, литера А
652 1642 13-я Красноармейская ул., д. 6, литера А
653 1642 13-я Красноармейская ул., д. 8, литера А
654 1642 13-я Красноармейская ул., д. 14, литера А
655 1642 13-я Красноармейская ул., д. 16, литера А
656 1642 13-я Красноармейская ул., д. 28, литера А
657 1642 8-я Красноармейская ул., д. 9-11, литера А
658 1642 8-я Красноармейская ул., д. 15-17, литера А
659 1642 8-я Красноармейская ул., д. 15-17, литера Б
660 1642 8-я Красноармейская ул., д. 19 литера А
661 1642 8-я Красноармейская ул., д. 21, литера А
662 1642 8-я Красноармейская ул., д. 21, литера Б
663 1642 8-я Красноармейская ул., д. 23, литера А
664 1642 Лермонтовский пр., д. 40-42, литера А
665 1642 Лермонтовский пр., д. 40-42, литера Б
666 1642 Лермонтовский пр., д. 40-42, литера В
667 1642 Лермонтовский пр., д. 40-42, литера Е
668 1643 Измайловский пр., д. 11, литера А
669 1645 2-я Красноармейская ул., д. 10, литера А
670 1645 2-я Красноармейская ул., д. 12, литера А (часть здания)
671 1645 2-я Красноармейская ул., д. 14, литера А
672 1645 2-я Красноармейская ул., д. 14, литера Б
673 1645 2-я Красноармейская ул., д. 16, литера А
674 1645 3-я Красноармейская ул., д. 9, литера А
675 1646 2-я Красноармейская ул., д. 2/27, литера А
676 1646 2-я Красноармейская ул., д. 4, литера А (часть здания)
677 1647 3-я Красноармейская ул., д. 2/31, литера А
678 1647 3-я Красноармейская ул., д. 4, литера А
679 1647 3-я Красноармейская ул., д. 6, литера А
680 1647 3-я Красноармейская ул., д. 8, литера А
681 1647 3-я Красноармейская ул., д. 8, литера Б
682 1647 3-я Красноармейская ул., д. 8, литера В
683 1647 4-я Красноармейская ул., д. 3, литера А
684 1647 4-я Красноармейская ул., д. 5, литера А
685 1647 ул. Егорова, д. 14, литера А
686 1648 3-я Красноармейская ул., д. 10, литера А
687 1648 3-я Красноармейская ул., д. 12, литера А
688 1648 3-я Красноармейская ул., д. 14, литера А
689 1648 3-я Красноармейская ул., д. 18, литера А
690 1648 3-я Красноармейская ул., д. 18, литера Г
691 1648 4-я Красноармейская ул., д. 11, литера А
692 1648 4-я Красноармейская ул., д. 13, литера А
693 1648 4-я Красноармейская ул., д. 15, литера А
694 1648 4-я Красноармейская ул., д. 17, литера А
695 1648 4-я Красноармейская ул., д. 9/9, литера А
696 1650 Измайловский пр., д. 13, литера Д
697 1651 8-я Красноармейская ул., д. 14, литера А
698 1651 8-я Красноармейская ул., д. 18, литера А
699 1651 8-я Красноармейская ул., д. 20а, литера А
700 1651 8-я Красноармейская ул., д. 22, литера А
701 1651 8-я Красноармейская ул., д. 4/5, литера А
702 1651 8-я Красноармейская ул., д. 16, литера А
703 1651 9-я Красноармейская ул., д. 11, литера А
704 1651 9-я Красноармейская ул., д. 13, литера А (часть здания)
705 1651 9-я Красноармейская ул., д. 19, литера А
706 1651 9-я Красноармейская ул., д. 19, литера Б
707 1651 9-я Красноармейская ул., д. 21, литера А
708 1651 9-я Красноармейская ул., д. 3/7, литера А
709 1652 10-я Красноармейская ул., д. 11, литера А
710 1652 10-я Красноармейская ул., д. 13, литера А
711 1652 10-я Красноармейская ул., д. 15-17, литера В
712 1652 10-я Красноармейская ул., д. 19, литера А
713 1652 10-я Красноармейская ул., д. 21, литера А
714 1652 10-я Красноармейская ул., д. 23, литера А
715 1652 10-я Красноармейская ул., д. 9, литера А
716 1652 Рижский пр., д. 10, литера А
717 1652 Рижский пр., д. 12, литера А
718 1652 Рижский пр., д. 14, литера А
719 1652 Рижский пр., д. 18, литера К
720 1652 Рижский пр., д. 2, литера А
721 1652 Рижский пр., д. 8, литера А
722 1653 Дровяная ул., д. 3, литера Ж
723 1653 Дровяная ул., д. 3а, литера В-2
724 1653 Рижский пр., д. 22, литера А
725 1655 Дерптский пер., д. 10, литера А
726 1655 Дерптский пер., д. 12, литера А
727 1655 Дерптский пер., д. 14, литера А
728 1655 Дерптский пер., д. 8, литера А
729 1655 пер. Лодыгина, д. 1, литера А
730 1655 пер. Лодыгина, д. 7, литера А
731 1655 пер. Лодыгина, д. 9/7, литера А
732 1656 Дерптский пер., д. 11, литера А
733 1656 Дерптский пер., д. 13, литера А
734 1656 Дерптский пер., д. 15, литера А
735 1656 Дерптский пер., д. 9, литера А
736 1656 Рижский пр., д. 30, литера А
737 1656 Рижский пр., д. 32, литера А
738 1656 Рижский пр., д. 34, литера А
739 1656 Рижский пр., д. 36, литера А
740 1656 Рижский пр., д. 38, литера Б
741 1657 Рижский пр., д. 40, литера Б
742 1657 Рижский пр., д. 40, литера М
743 1657 Курляндская ул., д. 19-21, литера А
744 1657 Курляндская ул., д. 19-21, литера Б
745 1657 Курляндская ул., д. 23, литера А
746 1657 Курляндская ул., д. 25, литера А
747 1657 Курляндская ул., д. 27, литера А
748 1657 Курляндская ул., д. 29, литера А
749 1657 Курляндская ул., д. 29-31, литера А
750 1657 Рижский пр., д. 40, литера А
751 1657 Рижский пр., д. 42, литера А
752 1657 Рижский пр., д. 44, литера А
753 1657 Рижский пр., д. 46, литера А
754 1657 Рижский пр., д. 48, литера А
755 1657 Рижский пр., д. 50, литера А
756 1657 Рижский пр., д. 52, литера А
757 1658 Курляндская ул., д. 37, литера А
758 1658 Курляндская ул., д. 45, литера А
759 1658 Курляндская ул., д. 49, литера Б
760 1658 Рижский пр., д. 54, литера А
761 1658 Рижский пр., д. 56, литера А
762 1658 Рижский пр., д. 58, корп. 2, литера А
763 1658 Рижский пр., д. 60, литера А
764 1658 Рижский пр., д. 62, литера А
765 1658 Рижский пр., д. 68, литера А
766 1658 Рижский пр., д. 70, литера А
767 1658 Рижский пр., д. 70, литера Р
768 1658 Старо-Петергофский пр., д. 17, литера А
769 1658 Старо-Петергофский пр., д. 19, литера А
770 1658 ул. Степана Разина, д. 6, корп. 3, литера Б
771 1658 ул. Степана Разина, д. 6/76, литера А (часть здания)
772 1662 Курляндская ул., д. 46, литера А
773 1662 Курляндская ул., д. 46, литера П
774 1662 Курляндская ул., д. 46, литера Т
775 1662 наб. Обводного кан., д. 223, корп. 1, литера В
776 1662 наб. Обводного кан., д. 223-225, литера Н
777 1662 наб. Обводного кан., д. 229, литера А
778 1662 ул. Степана Разина, д. 8/50, литера А
779 1662 ул. Степана Разина, д. 8а, литера Б (часть здания)
780 1663 Курляндская ул., д. 16-18, литера Б
781 1663 Курляндская ул., д. 20, литера А
782 1663 Курляндская ул., д. 22-24, литера А
783 1663 Курляндская ул., д. 30, литера В
784 1663 Курляндская ул., д. 32, литера А
785 1663 Курляндская ул., д. 34, литера В
786 1663 Курляндская ул., д. 36-38, литера А
787 1663 наб. Обводного кан., д. 199-201, литера А (часть здания)
788 1663 наб. Обводного кан., д. 203, литера А
789 1663 наб. Обводного кан., д. 209, литера А
790 1663 наб. Обводного кан., д. 211-213, литера А
791 1663 Старо-Петергофский пр., д. 8б, литера А
792 1663 Старо-Петергофский пр., д. 12, литера А
793 1663 Старо-Петергофский пр., д. 14, литера А
794 1663 ул. Циолковского, д. 11, литера А (часть здания)
795 1664 Дровяная ул., д. 7а, литера А
796 1664 Курляндская ул., д. 4, литера Б
797 1664 Курляндская ул., д. 8, литера А
798 1664 наб. Обводного кан., д. 187, литера А
799 1664 наб. Обводного кан., д. 191, литера А
800 1665 Дровяная ул., д. 6, литера А
801 1665 Дровяная ул., д. 8, литера А
802 1665 10-я Красноармейская ул., д. 22, литера А (лицевой фасад по 10-й Красноармейской ул.)
803 1665 10-я Красноармейская ул., д. 22, литера Д
804 1665 10-я Красноармейская ул., д. 24, литера А
805 1665 12-я Красноармейская ул., д. 29, литера А
806 1665 Лермонтовский пр., д. 49, литера А
807 1666 10-я Красноармейская ул., д. 3, литера А
808 1666 10-я Красноармейская ул., д. 3б, литера А
809 1666 10-я Красноармейская ул., д. 5а, литера А
810 1666 9-я Красноармейская ул., д. 10а, литера А
811 1666 9-я Красноармейская ул., д. 8, литера А
812 1667 Измайловский пр., д. 15, литера Б
813 1667 Измайловский пр., д. 15, литера В
814 1667 Измайловский пр., д. 15, литера Г
815 1669 4-я Красноармейская ул., д. 14, литера А
816 1669 4-я Красноармейская ул., д. 16, литера А
817 1669 4-я Красноармейская ул., д. 16, литера В
818 1669 4-я Красноармейская ул., д. 18б, литера А
819 1669 4-я Красноармейская ул., д. 20/8, литера А
820 1669 5-я Красноармейская ул., д. 11/13, литера А
821 1669 5-я Красноармейская ул., д. 13, литера А
822 1669 5-я Красноармейская ул., д. 17, литера А
823 1669 5-я Красноармейская ул., д. 21, литера А
824 1670 4-я Красноармейская ул., д. 2/35, литера А
825 1670 4-я Красноармейская ул., д. 4, литера А
826 1670 4-я Красноармейская ул., д. 6, литера А
827 1670 4-я Красноармейская ул., д. 8, литера А
828 1670 5-я Красноармейская ул., д. 3, литера А
829 1670 5-я Красноармейская ул., д. 7, литера А
830 1670 Ул. Егорова, д. 16, литера А
831 1670 Московский пр., д. 37/1, литера А (часть здания)
832 1671 5-я Красноармейская ул., д. 10, литера А
833 1671 5-я Красноармейская ул., д. 2/39, литера А
834 1671 5-я Красноармейская ул., д. 4, литера А
835 1671 5-я Красноармейская ул., д. 6, литера А
836 1671 5-я Красноармейская ул., д. 8, литера А
837 1671 6-я Красноармейская ул., д. 1, литера А
838 1672 5-я Красноармейская ул., д. 16, литера А
839 1672 5-я Красноармейская ул., д. 18, литера А
840 1672 5-я Красноармейская ул., д. 20, литера А
841 1672 5-я Красноармейская ул., д. 24, литера А
842 1672 5-я Красноармейская ул., д. 26, литера А
843 1672 5-я Красноармейская ул., д. 28, литера А
844 1672 6-я Красноармейская ул., д. 17, литера А
845 1672 6-я Красноармейская ул., д. 19, литера А
846 1672 6-я Красноармейская ул., д. 21, литера А
847 1672 6-я Красноармейская ул., д. 23, литера А
848 1672 6-я Красноармейская ул., д. 25, литера А
849 1673 Советский пер., д. 9/34, литера А
850 1675 10-я Красноармейская ул., д. 4, литера А
851 1675 10-я Красноармейская ул., д. 6, литера А
852 1675 10-я Красноармейская ул., д. 8, литера А
853 1675 11-я Красноармейская ул., д. 5/13, литера А
854 1675 11-я Красноармейская ул., д. 7, литера А
855 1675 11-я Красноармейская ул., д. 11, строение 1
856 1675 11-я Красноармейская ул., д. 13, литера А
857 1675 11-я Красноармейская ул., д. 15а, литера А
858 1675 11-я Красноармейская ул., д. 15а, литера В
859 1676 11-я Красноармейская ул., д. 8, литера А
860 1676 11-я Красноармейская ул., д. 8, литера Б
861 1676 11-я Красноармейская ул., д. 10, литера А
862 1676 11-я Красноармейская ул., д. 12, литера А
863 1676 11-я Красноармейская ул., д. 14, литера А
864 1676 11-я Красноармейская ул., д. 16, литера А
865 1676 11-я Красноармейская ул., д. 18-20, литера А
866 1676 11-я Красноармейская ул., д. 22, литера А
867 1676 11-я Красноармейская ул., д. 28, литера А (часть здания)
868 1676 11-я Красноармейская ул., д. 2б, литера А
869 1676 12-я Красноармейская ул., д. 11, литера А
870 1676 12-я Красноармейская ул., д. 15, литера А
871 1676 12-я Красноармейская ул., д. 15, литера В
872 1676 12-я Красноармейская ул., д. 17, литера А
873 1676 12-я Красноармейская ул., д. 21, литера А
874 1676 12-я Красноармейская ул., д. 21, литера Б
875 1676 12-я Красноармейская ул., д. 23, литера А
876 1676 Измайловский пр., д. 19, литера А
877 1677 7-я Красноармейская ул., д. 25, литера А
878 1678 6-я Красноармейская ул., д. 14, литера А
879 1678 6-я Красноармейская ул., д. 16, литера А
880 1678 6-я Красноармейская ул., д. 22, литера А
881 1678 7-я Красноармейская ул., д. 13, литера А
882 1678 7-я Красноармейская ул., д. 15, литера А
883 1678 7-я Красноармейская ул., д. 15, литера Б
884 1678 7-я Красноармейская ул., д. 17, литера А
885 1678 7-я Красноармейская ул., д. 19, литера А
886 1678 7-я Красноармейская ул., д. 19, литера Б
887 1678 7-я Красноармейская ул., д. 21, литера А
888 1678 7-я Красноармейская ул., д. 23, литера А
889 1679 6-я Красноармейская ул., д. 10, литера А
890 1679 6-я Красноармейская ул., д. 12, литера А
891 1679 6-я Красноармейская ул., д. 2-4, литера А
892 1679 6-я Красноармейская ул., д. 2-4, литера Б
893 1679 6-я Красноармейская ул., д. 2-4, литера В
894 1679 6-я Красноармейская ул., д. 6, литера А
895 1679 6-я Красноармейская ул., д. 8, литера А
896 1679 7-я Красноармейская ул., д. 3, литера А
897 1679 7-я Красноармейская ул., д. 3, литера Б
898 1679 7-я Красноармейская ул., д. 5, литера А
899 1679 7-я Красноармейская ул., д. 5, литера Д
900 1679 7-я Красноармейская ул., д. 9, литера А
901 1679 Московский пр., д. 45, литера А
902 1679 Московский пр., д. 47, литера А
903 1680 Малодетскосельский пр., д. 27, литера А
904 1680 Малодетскосельский пр., д. 29, литера А
905 1680 Малодетскосельский пр., д. 31, литера А
906 1680 Малодетскосельский пр., д. 33, литера А
907 1681 Батайский пер., д. 4, литера А
908 1681 Батайский пер., д. 6-8, литера А
909 1681 Бронницкая ул., д. 15, литера А
910 1681 Бронницкая ул., д. 17, литера А
911 1681 Бронницкая ул., д. 19, литера А
912 1681 Дойников пер., д. 5-7, литера А
913 1681 Дойников пер., д. 9, литера А
914 1681 Клинский пр., д. 26/2, литера А
915 1681 Клинский пр., д. 26/2, литера Б
916 1682 Батайский пер., д. 10, литера А
917 1682 Бронницкая ул., д. 21, литера А
918 1682 Бронницкая ул., д. 23, литера А
919 1682 Бронницкая ул., д. 25, литера А
920 1682 Бронницкая ул., д. 27, литера А
921 1682 Дойников пер., д. 4-6, литера А
922 1683 Бронницкая ул., д. 18, литера А
923 1683 Бронницкая ул., д. 20, литера А
924 1683 Бронницкая ул., д. 22, литера А
925 1683 Бронницкая ул., д. 26, литера А
926 1683 Бронницкая ул., д. 28, литера А
927 1683 Бронницкая ул., д. 28, литера Б
928 1683 Бронницкая ул., д. 30, литера А
929 1683 Бронницкая ул., д. 32, литера А
930 1683 Малодетскосельский пр., д. 17-19/34, литера А
931 1683 Серпуховская ул., д. 21, литера А
932 1683 Серпуховская ул., д. 23, литера А
933 1683 Серпуховская ул., д. 25, литера А
934 1684 Подольская ул., д. 23, литера А
935 1684 Подольская ул., д. 25, литера А
936 1684 Подольская ул., д. 27, литера А
937 1684 Подольская ул., д. 31, литера А
938 1684 Подольская ул., д. 33, литера А
939 1684 Подольская ул., д. 37, литера А
940 1684 Серпуховская ул., д. 20, литера А
941 1684 Серпуховская ул., д. 22, литера А
942 1684 Серпуховская ул., д. 26, литера А
943 1684 Серпуховская ул., д. 28, литера А
944 1684 Серпуховская ул., д. 30, литера А
945 1684 Серпуховская ул., д. 30, литера Б
946 1684 Серпуховская ул., д. 32, литера А
947 1684 Серпуховская ул., д. 36-38, литера А (часть здания)
948 1685 Верейская ул., д. 23, литера А
949 1685 Верейская ул., д. 25, литера А
950 1685 Верейская ул., д. 27, литера А
951 1685 Верейская ул., д. 29, литера А
952 1685 Верейская ул., д. 31, литера А
953 1685 Верейская ул., д. 33, литера А
954 1685 Подольская ул., д. 20, литера А
955 1685 Подольская ул., д. 26, литера А
956 1685 Подольская ул., д. 26, литера Б
957 1685 Подольская ул., д. 28, литера А
958 1685 Подольская ул., д. 30-32, литера А
959 1685 Подольская ул., д. 34, литера А
960 1685 Подольская ул., д. 36, литера А
961 1685 Подольская ул., д. 38, литера А
962 1686 Верейская ул., д. 22-24, литера А
963 1686 Верейская ул., д. 26, литера А
964 1686 Верейская ул., д. 28, литера А
965 1686 Верейская ул., д. 30-32, литера А
966 1686 Верейская ул., д. 30-32, литера Б
967 1686 Верейская ул., д. 34, литера А
968 1686 Верейская ул., д. 36, литера А
969 1686 Верейская ул., д. 40, литера А
970 1686 Клинский пр., д. 8, литера А
971 1686 Можайская ул., д. 29, литера А
972 1686 Можайская ул., д. 31, литера А
973 1686 Можайская ул., д. 35, литера А
974 1686 Можайская ул., д. 37-39, литера А
975 1687 Можайская ул., д. 28, литера А
976 1687 Можайская ул., д. 30, литера А
977 1687 Можайская ул., д. 34, литера А
978 1687 Можайская ул., д. 38, литера А
979 1687 Рузовская ул., д. 19, литера А
980 1687 Рузовская ул., д. 23, литера А
981 1687 Рузовская ул., д. 25, литера А
982 1687 Рузовская ул., д. 29, литера А
983 1687 Рузовская ул., д. 31, литера А
984 1688 Рузовская ул., д. 14а, литера А (часть здания)
985 1688 Рузовская ул., д. 18, литера Г
986 1688 Рузовская ул., д. 8, литера Е
987 1689 Загородный пр., д. 52, литера С
988 1689 Подъездной пер., д. 11, литера А
989 1689 Подъездной пер., д. 11а, литера Б
990 1689 Подъездной пер., д. 13, литера А
991 1689 Подъездной пер., д. 13а, литера Б
992 1689 Подъездной пер., д. 15, литера А
993 1689 Подъездной пер., д. 15, литера Б
994 1689 Подъездной пер., д. 15, литера В
995 1689 Подъездной пер., д. 17, литера А
996 1689 Подъездной пер., д. 19, литера А
997 1689 Подъездной пер., д. 3, литера А
998 1689 Подъездной пер., д. 3, литера Б
999 1689 Подъездной пер., д. 5, литера А
1000 1689 Подъездной пер., д. 5, литера Б
1001 1689 Подъездной пер., д. 5, литера В
1002 1689 Подъездной пер., д. 7, литера А
1003 1689 Подъездной пер., д. 9, литера А
1004 1690 Звенигородская ул., д. 9-11, литера К
1005 1710 Можайская ул., д. 40, литера А
1006 1710 Можайская ул., д. 42, литера А
1007 1710 Рузовская ул., д. 33, литера А
1008 1710 Рузовская ул., д. 35, литера А
1009 1711 Верейская ул., д. 42/8, литера А
1010 1711 Верейская ул., д. 44, литера А
1011 1711 Верейская ул., д. 46, литера А
1012 1711 Верейская ул., д. 48, литера А
1013 1711 Верейская ул., д. 50, литера А
1014 1711 Верейская ул., д. 54, литера А
1015 1711 Можайская ул., д. 41, литера А
1016 1711 Можайская ул., д. 43, литера А
1017 1711 Можайская ул., д. 45, литера А
1018 1711 Можайская ул., д. 47, литера А
1019 1711 Можайская ул., д. 49, литера А
1020 1712 Верейская ул., д. 35, литера А
1021 1712 Верейская ул., д. 37, литера А
1022 1712 Верейская ул., д. 39, литера Б
1023 1712 Верейская ул., д. 45, литера А
1024 1712 Верейская ул., д. 47, литера А
1025 1712 Подольская ул., д. 40, литера А
1026 1712 Подольская ул., д. 42, литера А
1027 1712 Подольская ул., д. 44, литера А
1028 1712 Подольская ул., д. 50, литера А
1029 1712 Подольская ул., д. 50, литера Б
1030 1713 Подольская ул., д. 41, литера А
1031 1713 Подольская ул., д. 43, литера А
1032 1713 Подольская ул., д. 45, литера А
1033 1713 Серпуховская ул., д. 42, литера А
1034 1713 Серпуховская ул., д. 44, литера А
1035 1714 Бронницкая ул., д. 36, литера А
1036 1714 Бронницкая ул., д. 40, литера А
1037 1714 Бронницкая ул., д. 44, литера А
1038 1714 Серпуховская ул., д. 39, литера А
1039 1714 Серпуховская ул., д. 43, литера А
1040 1715 Бронницкая ул., д. 31, литера А
1041 1715 Бронницкая ул., д. 37, литера А
1042 1715 Малодетскосельский пр., д. 22/29, литера А
1043 1715 Малодетскосельский пр., д. 24, литера А
1044 1715 Малодетскосельский пр., д. 26, литера А
1045 1715 Малодетскосельский пр., д. 28, литера А
1046 1715 Малодетскосельский пр., д. 30, литера А
1047 1715 Малодетскосельский пр., д. 34, литера А
1048 1715 Малодетскосельский пр., д. 36, литера А
1049 1715 Малодетскосельский пр., д. 38, литера А
1050 1715 Московский пр., д. 50, литера А
1051 1715 Московский пр., д. 52, литера А
1052 1715 Московский пр., д. 54, литера А
1053 1715 Московский пр., д. 56, литера А
1054 1715 Московский пр., д. 56, литера Ж
1055 1715 наб. Обводного кан., д. 123, литера А
1056 1715 наб. Обводного кан., д. 125, литера А
1057 1715 наб. Обводного кан., д. 127, литера А
1058 1717 7-я Красноармейская ул., д. 10, литера А
1059 1717 7-я Красноармейская ул., д. 6-8, литера А
1060 1717 ул. Егорова, д. 28, литера А
1061 1717 ул. Егорова, д. 28а, литера А
1062 1717 Московский пр., д. 49, литера А
1063 1717 Московский пр., д. 51, литера А
1064 1717 Московский пр., д. 53, литера А
1065 1717 Московский пр., д. 55, литера А
1066 1717 Московский пр., д. 57, литера А
1067 1717 наб. Обводного кан., д. 141, литера А
1068 1718 7-я Красноармейская ул., д. 16, литера А
1069 1718 7-я Красноармейская ул., д. 18, литера А
1070 1718 7-я Красноармейская ул., д. 26, литера А
1071 1718 Измайловский пр., д. 18, литера А
1072 1718 Измайловский пр., д. 20, литера А
1073 1718 Измайловский пр., д. 22, литера М
1074 1718 наб. Обводного кан., д. 143, литера А
1075 1718 наб. Обводного кан., д. 145, литера А
1076 1718 наб. Обводного кан., д. 145, литера Г
1077 1718 наб. Обводного кан., д. 147-149, литера А
1078 1718 наб. Обводного кан., д. 147-149, литера Б
1079 1718 наб. Обводного кан., д. 151-153, литера А (часть здания)
1080 1718 наб. Обводного кан., д. 151-153, литера В
1081 1718 наб. Обводного кан., д. 157-159, литера А
1082 1718 наб. Обводного кан., д. 157-159, литера Г
1083 1719 12-я Красноармейская ул., д. 10, литера А
1084 1719 12-я Красноармейская ул., д. 12, литера А
1085 1719 12-я Красноармейская ул., д. 24, литера А
1086 1719 12-я Красноармейская ул., д. 6, литера А
1087 1719 12-я Красноармейская ул., д. 8, литера А
1088 1719 Измайловский пр., д. 23, литера А
1089 1719 Измайловский пр., д. 25, литера А
1090 1719 Измайловский пр., д. 27, литера А (часть здания)
1091 1719 Измайловский пр., д. 31, литера А
1092 1719 Наб. Обводного кан., д. 167а, литера Ц
1093 1720 Морской пер., д. 3, литера А
1094 1720 Морской пер., д. 3, литера Р
1095 1720 наб. Обводного кан., д. 179, литера А
1096 1720 наб. Обводного кан., д. 183, литера А
1097 7501А наб. Обводного кан., д. 118а, литера У
1098 7501А наб. Обводного кан., д. 118б, литера А
1099 7501Б наб. Обводного кан., д. 116, литера Б
1100 7501Б наб. Обводного кан., д. 116а, литера А (часть здания)
1101 7501Б наб. Обводного кан., д. 116а, литера Б
1102 7501Б наб. Обводного кан., д. 118, корп. 3, литера А (часть здания)
1103 8001 наб. Обводного кан., д. 122, литера А
1104 8001 ул. Шкапина, д. 2, литера А
1105 8001 ул. Шкапина, д. 4, литера А
1106 8002Б наб. Обводного кан., д. 120, литера А (часть здания)
1107 8003 ул. Розенштейна, д. 8-12, литера А
1108 8003 ул. Розенштейна, д. 8-12, литера Б
1109 8004 наб. Обводного кан., д. 128, литера А
1110 8004 наб. Обводного кан., д. 128, литера Б
1111 8004 наб. Обводного кан., д. 130, литера А (лицевой фасад)
1112 8004 наб. Обводного кан., д. 132, литера А
1113 8004 наб. Обводного кан., д. 132, литера Е
1114 8004 наб. Обводного кан., д. 142/16, литера А
1115 8004 Старо-Петергофский пр., д. 18, литера М
1116 8004 Старо-Петергофский пр., д. 28, литера А
1117 8005 Нарвский пр., д. 10, литера А
1118 8005 Нарвский пр., д. 12, литера З
1119 8005 Нарвский пр., д. 14, литера А
1120 8005 Нарвский пр., д. 16, литера А
1121 8005 Нарвский пр., д. 4-6, литера А
1122 8005 Нарвский пр., д. 8, литера А
1123 8005 Старо-Петергофский пр., д. 31/2, литера Л
1124 8005 Старо-Петергофский пр., д. 31/2, литера П
1125 8005 Старо-Петергофский пр., д. 35а, литера А
1126 8005 Старо-Петергофский пр., д. 35б, литера А
1127 8005 Старо-Петергофский пр., д. 37, литера А
1128 8005 Старо-Петергофский пр., д. 39а, литера А
1129 8007 Бумажная ул., д. 3, литера А
1130 8007 Нарвский пр., д. 13, литера А
1131 8007 Нарвский пр., д. 15, литера А
1132 8007 Нарвский пр., д. 17, литера А
1133 8007 Нарвский пр., д. 19, литера А
1134 8007 Нарвский пр., д. 7, литера А
1135 8007 Нарвский пр., д. 9, литера А
1136 8007 наб. Обводного кан., д. 144, литера А
1137 8007 наб. Обводного кан., д. 146, литера А
1138 8007 наб. Обводного кан., д. 148, корп. 2, литера А
1139 8007 наб. Обводного кан., д. 150, корп. 1, литера А
1140 8007 Старо-Петергофский пр., д. 27, литера Ю
1141 8007 Старо-Петергофский пр., д. 27а, литера А
1142 8008 Бумажная ул., д. 22, корп. 2, литера Б
1143 8008 Лифляндская ул., д. 2-4, литера Ц
1144 8008 Лифляндская ул., д. 6, литера Д
1145 8008 Лифляндская ул., д. 8, литера А
1146 8009 Лифляндская ул., д. 3, литера А
