3128 1018 Миллионная ул., д. 15, литера А
3683 1201 Фурштатская ул., д. 56, литера А
3684 1201 Фурштатская ул., д. 60, литера А (часть здания)
3685 1201 ул. Чайковского, д. 65-67, литера А
3686 1201 ул. Чайковского, д. 73, литера А
3687 1201 ул. Чайковского, д. 75, литера А
3688 1201 ул. Чайковского, д. 77, литера А
3689 1201 ул. Чайковского, д. 79, литера А (часть здания)
3690 1201 ул. Чайковского, д. 81, литера А
3691 1201 пр. Чернышевского, д. 14/59, литера А
3692 1203 Калужский пер., д. 3, литера А
3693 1203 Таврическая ул., д. 19, литера А
3694 1203 Таврическая ул., д. 21-23-25, литера А
3695 1203 Таврическая ул., д. 27, литера А
3696 1203 Таврическая ул., д. 27, литера Б
3697 1203 Таврическая ул., д. 29, литера А
3698 1203 Тверская ул., д. 3/1, литера А
3699 1204 Таврическая ул., д. 37, литера А (часть здания)
3700 1204 Таврическая ул., д. 39, литера Б
3701 1204 Тверская ул., д. 10, литера А
3702 1205 Тверская ул., д. 12/15, литера А
3703 1205 Тверская ул., д. 14, литера А
3704 1205 Шпалерная ул., д. 51, литера Б
3705 1205 Шпалерная ул., д. 51, литера К
3706 1206 Очаковская ул., д. 6, литера А
3707 1206 Тверская ул., д. 11, литера А
3708 1206 Тверская ул., д. 13, литера А
3709 1206 Тверская ул., д. 15, литера А (часть здания)
3710 1207 Кавалергардская ул., д. 5, литера А
3711 1207 Очаковская ул., д. 5, литера А
3712 1207 Суворовский пр., д. 54, литера А
3713 1207 Суворовский пр., д. 56, литера А
3714 1209 Кавалергардская ул., д. 6, литера А
3715 1209 Кавалергардская ул., д. 10, литера А
3716 1209А Кавалергардская ул., д. 14-16, литера А
3717 1209А Кавалергардская ул., д. 18, литера А
3718 1209А Кавалергардская ул., д. 22, литера А
3719 1209А Кавалергардская ул., д. 22, литера Б
3720 1209А Тверская ул., д. 7, литера А
3721 1210 Кирочная ул., д. 39, литера А
3722 1210 Парадная ул., д. 1, литера А
3723 1210 Парадная ул., д. 3, корп. 1, литера А
3724 1210 Парадная ул., д. 5, корп. 1, литера А
3725 1210 Парадная ул., д. 7, литера А
3726 1210 Парадная ул., д. 9, литера А
3727 1211 Гродненский пер., д. 12-14, литера А
3728 1211 Гродненский пер., д. 18, литера А
3729 1211 ул. Радищева, д. 38/20, литера А
3730 1211 ул. Радищева, д. 40, литера А
3731 1211 ул. Рылеева, д. 33, литера А
3732 1211 ул. Рылеева, д. 35, литера А
3733 1211 ул. Рылеева, д. 39, литера А
3734 1212 Гродненский пер., д. 17, литера А
3735 1212 Сапёрный пер., д. 20, литера А
3736 1213 Виленский пер., д. 8, литера А
3737 1213 ул. Восстания, д. 43, литера А
3738 1213 ул. Радищева, д. 32, литера А
3739 1213 Сапёрный пер., д. 21, литера А
3740 1214 Митавский пер., д. 4, литера А
3741 1214 Сапёрный пер., д. 11, литера А
3742 1214 Сапёрный пер., д. 13, литера А (часть здания)
3743 1214 Сапёрный пер., д. 13, литера Г
3744 1214 Сапёрный пер., д. 13, литера Л
3745 1214 Сапёрный пер., д. 15, литера А
3746 1215 Басков пер., д. 8, литера А (часть здания)
3747 1215 Басков пер., д. 10, литера А
3748 1215 Басков пер., д. 14, литера А
3749 1215 Басков пер., д. 18, литера А
3750 1215 Басков пер., д. 20, литера А
3751 1215 ул. Восстания, д. 30/7, литера А
3752 1215 ул. Маяковского, д. 25, литера А (часть здания)
3753 1215 ул. Маяковского, д. 29, литера А
3754 1215 Сапёрный пер., д. 3, литера А
3755 1215 Сапёрный пер., д. 5, литера А
3756 1215 Сапёрный пер., д. 7, литера А
3757 1215 Сапёрный пер., д. 9, литера А
3758 1216 Басков пер., д. 13-15, литера А (часть здания)
3759 1216 Басков пер., д. 17, литера А
3760 1216 Басков пер., д. 17, литера Б
3761 1216 Басков пер., д. 21, литера А
3762 1216 Басков пер., д. 23, литера А
3763 1216 Басков пер., д. 25, литера А
3764 1216 ул. Некрасова, д. 22, литера А
3765 1216 ул. Некрасова, д. 30, литера А
3766 1217 Ковенский пер., д. 2, литера А
3767 1217 Ковенский пер., д. 4, литера А
3768 1217 Ковенский пер., д. 10, литера А
3769 1217 Ковенский пер., д. 12, литера А
3770 1217 ул. Маяковского, д. 17, литера А
3771 1217 ул. Маяковского, д. 19/15, литера А (часть здания)
3772 1217 ул. Некрасова, д. 17, литера А
3773 1217 ул. Некрасова, д. 19, литера А
3774 1217 ул. Некрасова, д. 21, литера А
3775 1217 ул. Некрасова, д. 23, литера А
3776 1217 ул. Некрасова, д. 25, литера А
3777 1218 ул. Восстания, д. 16, литера А
3778 1218 ул. Жуковского, д. 18, литера А
3779 1218 ул. Жуковского, д. 24, литера А
3780 1218 Ковенский пер., д. 11, литера А
3781 1218 Ковенский пер., д. 13, литера А
3782 1218 ул. Маяковского, д. 9/16, литера А
3783 1218 ул. Маяковского, д. 11, литера А
3784 1219 ул. Жуковского, д. 3, литера А
3785 1219 ул. Жуковского, д. 13, литера А
3786 1219 ул. Жуковского, д. 15, литера А
3787 1219 ул. Жуковского, д. 17, литера А
3788 1219 ул. Жуковского, д. 19, литера А (лицевой корпус)
3789 1219 ул. Жуковского, д. 21, литера Б
3790 1219 ул. Жуковского, д. 23, литера А
3791 1219 Литейный пр., д. 56, литера Б (часть здания)
3792 1219 Литейный пр., д. 56, литера В (часть здания)
3793 1219 Литейный пр., д. 64/78, литера А (часть здания)
3794 1219 Литейный пр., д. 64/78, литера Б
3795 1219 ул. Маяковского, д. 4, литера А
3796 1219 ул. Маяковского, д. 6, литера А
3797 1219 ул. Маяковского, д. 8, литера А
3798 1219 ул. Маяковского, д. 10, литера А
3799 1219 ул. Маяковского, д. 12, литера Р (часть здания)
3800 1219 ул. Маяковского, д. 12а, литера П
3801 1219 Невский пр., д. 84-86, литера А (часть здания)
3802 1220 ул. Марата, д. 1/71, литера А
3803 1220 Невский пр., д. 55, литера А (лицевой фасад)
3804 1220 Невский пр., д. 57, литера А (лицевой корпус по Стремянной ул., лицевой фасад по Невскому пр.)
3805 1220 Невский пр., д. 59, литера А (лицевой фасад)
3806 1220 Невский пр., д. 63, литера А (часть здания)
3807 1220 Невский пр., д. 67, литера А
3808 1220 Невский пр., д. 69, литера А
3809 1220 Стремянная ул., д. 2/4, литера А
3810 1220 Стремянная ул., д. 4, литера А
3811 1220 Стремянная ул., д. 12, литера А
3812 1220 Стремянная ул., д. 14, литера А
3813 1220 Стремянная ул., д. 16, литера А
3814 1220 Стремянная ул., д. 18, литера А
3815 1220 Стремянная ул., д. 22/3, литера А
3816 1221 ул. Марата, д. 13, литера А
3817 1221 Поварской пер., д. 4, литера А
3818 1221 Поварской пер., д. 10, литера А
3819 1221 Поварской пер., д. 12, литера А
3820 1222 Дмитровский пер., д. 4, литера А
3821 1222 Дмитровский пер., д. 6, литера А
3822 1222 Дмитровский пер., д. 12, литера А
3823 1222 Дмитровский пер., д. 16-18/6, литера А
3824 1222 Колокольная ул., д. 10, литера А
3825 1222 Поварской пер., д. 3, литера А
3826 1222 Поварской пер., д. 5, литера А
3827 1222 Поварской пер., д. 7, литера А
3828 1222 Поварской пер., д. 11, литера А
3829 1222 Поварской пер., д. 15, литера А
3830 1222 Поварской пер., д. 17/12, литера А
3831 1223 Дмитровский пер., д. 1/7, литера А
3832 1223 Дмитровский пер., д. 3-5, литера А (часть здания)
3833 1223 Дмитровский пер., д. 7, литера А
3834 1223 Дмитровский пер., д. 9, литера А
3835 1223 Дмитровский пер., д. 11, литера А
3836 1223 Дмитровский пер., д. 13, литера А
3837 1223 Дмитровский пер., д. 15, литера А
3838 1223 Дмитровский пер., д. 17, литера А
3839 1223 Дмитровский пер., д. 17, литера Б
3840 1223 Колокольная ул., д. 2/18, литера А (часть здания)
3841 1223 Стремянная ул., д. 1/6, литера А
3842 1223 Стремянная ул., д. 3, литера А
3843 1223 Стремянная ул., д. 3, литера Б
3844 1223 Стремянная ул., д. 5, литера А
3845 1224 Владимирский пр., д. 5, литера А
3846 1224 Графский пер., д. 6/16, литера А
3847 1224 Графский пер., д. 8, литера А
3848 1224 Графский пер., д. 10/11, литера Ж
3849 1224 ул. Рубинштейна, д. 8, литера А (часть здания)
3850 1224 ул. Рубинштейна, д. 10, литера А
3851 1224 ул. Рубинштейна, д. 14, литера А
3852 1225 Графский пер., д. 2/48, литера Б
3853 1225 ул. Рубинштейна, д. 1/43, литера А
3854 1225 ул. Рубинштейна, д. 5, литера А (часть здания)
3855 1226 Садовая ул., д. 18-20, литера А (часть здания)
3856 1226 Садовая ул., д. 22/2, литера А (часть здания)
3857 1229 наб. кан. Грибоедова, д. 24, литера А
3858 1229 Думская ул., д. 5/22, литера А
3859 1229 Думская ул., д. 7, литера А
3860 1229 Невский пр., д. 29-31, литера А (часть здания)
3861 1230 Казанская ул., д. 4, литера А
3862 1231 наб. кан. Грибоедова, д. 25, литера А (часть здания)
3863 1231 наб. кан. Грибоедова, д. 27, литера А
3864 1231 наб. кан. Грибоедова, д. 29, литера А
3865 1231 Казанская ул., д. 18, литера А (часть здания)
3866 1231 Казанская ул., д. 20, литера А
3867 1231 Казанская ул., д. 22, литера А
3868 1258 Б. Морская ул., д. 20, литера А
3869 1258 Гороховая ул., д. 14/26, литера А
3870 1263 пл. Искусств, д. 2, литера А
3871 1263 Садовая ул., д. 3/5, литера А (часть здания)
3872 1264 Инженерная ул., д. 9, литера А
3873 1264А Караванная ул., д. 1, литера А (часть здания)
3874 1265 Итальянская ул., д. 16/19, литера А
3875 1266 Литейный пр., д. 25, литера А
3876 1266 Литейный пр., д. 27, литера А
3877 1266 Литейный пр., д. 29, литера А (часть здания)
3878 1266 Литейный пр., д. 35, литера А
3879 1266 Литейный пр., д. 37-39, литера А (часть здания)
3880 1266 Литейный пр., д. 43, литера А
3881 1266 Литейный пр., д. 45/8, литера А
3882 1266 Моховая ул., д. 38, литера А (часть здания)
3883 1266 Моховая ул., д. 40, литера А
3884 1266 Моховая ул., д. 42, литера А (часть здания)
3885 1266 Моховая ул., д. 44, литера А
3886 1266 Моховая ул., д. 46, литера Б
3887 1266 ул. Пестеля, д. 23, литера А
3888 1266 ул. Пестеля, д. 25, литера А
3889 1267 ул. Короленко, д. 10/3, литера А
3890 1267 Литейный пр., д. 30, литера А
3891 1267 Литейный пр., д. 30, литера Б
3892 1267 Литейный пр., д. 34, литера Б
3893 1267 Литейный пр., д. 34, литера В
3894 1267 Литейный пр., д. 36, литера А (часть здания)
3895 1269 ул. Маяковского, д. 48, литера А
3896 1269 ул. Рылеева, д. 1/9, литера А (часть здания)
3897 1269 ул. Рылеева, д. 3, литера А (лицевые корпуса)
3898 1269 ул. Рылеева, д. 5, литера Г
3899 1269 ул. Рылеева, д. 7, литера А
3900 1269 ул. Рылеева, д. 9, литера А (часть здания)
3901 1269 ул. Рылеева, д. 11, литера А
3902 1269 ул. Рылеева, д. 11, литера Б
3903 1270 Манежный пер., д. 3, литера Д
3904 1270 ул. Маяковского, д. 50, литера А
3905 1271 Кирочная ул., д. 7, литера А (часть здания)
3906 1271 Кирочная ул., д. 9, литера А
3907 1271 Манежный пер., д. 8, литера А
3908 1272 Манежный пер., д. 14, литера А
3909 1273 Кирочная ул., д. 28, литера А
3910 1273 Кирочная ул., д. 28а, литера А
3911 1273 Фурштатская ул., д. 29а, литера А
3912 1273 пр. Чернышевского, д. 18, литера А
3913 1275 Кирочная ул., д. 36, литера А
3914 1275 Кирочная ул., д. 38, литера А
3915 1275 Кирочная ул., д. 42, литера А
3916 1275 Кирочная ул., д. 44, литера А
3917 1275 Кирочная ул., д. 46, литера А
3918 1275 Фурштатская ул., д. 37, литера А
3919 1275 Фурштатская ул., д. 39, литера А (часть здания)
3920 1275 Фурштатская ул., д. 41, литера А
3921 1275 Фурштатская ул., д. 45, литера А
3922 1276 ул. Восстания, д. 53, литера А
3923 1276 ул. Восстания, д. 55, литера А
3924 1276 Кирочная ул., д. 25, литера А
3925 1276 Кирочная ул., д. 27, литера А
3926 1276 Кирочная ул., д. 29, литера А
3927 1276 ул. Радищева, д. 42, литера А
3928 1276 ул. Радищева, д. 44, литера А
3929 1276 ул. Рылеева, д. 24, литера А
3930 1277 ул. Восстания, д. 40, литера А
3931 1277 Манежный пер., д. 7, литера А (часть здания)
3932 1277 Манежный пер., д. 9, литера А
3933 1277 Манежный пер., д. 15-17, литера А
3934 1277 ул. Рылеева, д. 6, литера А
3935 1277 ул. Рылеева, д. 10, литера А
3936 1277 ул. Рылеева, д. 14, литера А
3937 1278 ул. Восстания, д. 38, литера А
3938 1278 Гродненский пер., д. 6, литера А (часть здания)
3939 1278 ул. Маяковского, д. 37, литера А
3940 1278 ул. Маяковского, д. 37, литера Ю
3941 1278 ул. Рылеева, д. 17-19, литера А (часть здания)
3942 1278 ул. Рылеева, д. 25, литера А
3943 1278 Сапёрный пер., д. 8, литера А
3944 1278 Сапёрный пер., д. 12, литера А
3945 1278 Сапёрный пер., д. 16/36, литера А
3946 1279 ул. Короленко, д. 7, литера А
3947 1279 ул. Маяковского, д. 34, литера А
3948 1279 ул. Маяковского, д. 40, литера А
3949 1279 ул. Маяковского, д. 44, литера А
3950 1279 ул. Маяковского, д. 46, литера Б
3951 1279 ул. Маяковского, д. 46а, литера А
3952 1280 Басков пер., д. 3, литера А
3953 1280 Басков пер., д. 3, литера Б
3954 1280 ул. Маяковского, д. 30, литера А (часть здания)
3955 1280 ул. Маяковского, д. 32/11, литера А
3956 1280 ул. Некрасова, д. 8, литера А
3957 1280 ул. Некрасова, д. 10-12, литера А (часть здания)
3958 1280 ул. Некрасова, д. 14, литера Б
3959 1280 ул. Некрасова, д. 14, литера В (часть здания)
3960 1280 ул. Некрасова, д. 14, литера Д
3961 1280 ул. Некрасова, д. 14а, литера А (лицевой фасад по ул. Некрасова)
3962 1281 ул. Маяковского, д. 20, литера А
3963 1281 ул. Маяковского, д. 22-24, литера А
3964 1281 ул. Маяковского, д. 26, литера А
3965 1281 ул. Маяковского, д. 26, литера Ж
3966 1281 ул. Маяковского, д. 28, литера Б
3967 1281 ул. Чехова, д. 1/12, литера А
3968 1281 ул. Чехова, д. 5, литера А
3969 1281 ул. Чехова, д. 7, литера А
3970 1281 ул. Чехова, д. 17/9, литера А
3971 1282 ул. Жуковского, д. 4, литера А
3972 1282 ул. Жуковского, д. 6, литера А
3973 1282 Литейный пр., д. 44, литера А (часть здания)
3974 1282 Литейный пр., д. 48, литера А
3975 1282 Литейный пр., д. 50, литера А
3976 1282 Литейный пр., д. 52, литера А
3977 1282 Литейный пр., д. 54, литера А
3978 1282 ул. Чехова, д. 10, литера А (часть здания)
3979 1282 ул. Чехова, д. 12-16, литера А
3980 1283 ул. Белинского, д. 3, литера А
3981 1283 ул. Белинского, д. 7, литера А
3982 1283 ул. Белинского, д. 9, литера А
3983 1283 Литейный пр., д. 49, литера А
3984 1283 Литейный пр., д. 55, литера А (часть здания)
3985 1283 Литейный пр., д. 59, литера А
3986 1283 Невский пр., д. 68а, литера А
3987 1283 Невский пр., д. 74-76, литера А
3988 1283 Невский пр., д. 74-76, литера Г
3989 1283 наб. р. Фонтанки, д. 32/1, литера А
3990 1284 Итальянская ул., д. 37/18, литера А
3991 1284 Караванная ул., д. 24-26, литера А (часть здания)
3992 1285 Итальянская ул., д. 33, литера А
3993 1285 Караванная ул., д. 3/35, литера А
3994 1285 Караванная ул., д. 5, литера А
3995 1285 М. Садовая ул., д. 4, литера А
3996 1287 Итальянская ул., д. 15, литера А (лицевой фасад)
3997 1287 Невский пр., д. 40-42, литера А (часть здания)
3998 1287 Садовая ул., д. 13-15/50, литера А
3999 1287 Садовая ул., д. 13-15/50, литера Б
4000 1289 М. Конюшенная ул., д. 8, литера А
4001 1290 Казанская ул., д. 13, литера А
4002 1290 Казанская ул., д. 15, литера А
4003 1290 Казанская ул., д. 17-19, литера А
4004 1417 пр. Бакунина, д. 10, литера Б
4005 1417 ул. Моисеенко, д. 43, литера А
4006 1417 ул. Моисеенко, д. 43, литера Б, Б1
4007 1417 Новгородская ул., д. 5, литера А
4008 1417 Новгородская ул., д. 7, литера А
4009 1417 Синопская наб., д. 38, литера А
4010 1417 Синопская наб., д. 50а, литера А (лицевой фасад до карниза 4-го этажа)
4011 1417 Синопская наб., д. 54, литера А (лицевой фасад до карниза 4-го этажа)
4012 1417 Синопская наб., д. 56-58, литера Б (часть здания)
4013 1417 Синопская наб., д. 60-62, литера А (лицевой фасад)
4014 1417 Синопская наб., д. 64, литера А
4015 1417 Синопская наб., д. 66, строение 1
4016 1417 Синопская наб., д. 72, литера Б
4017 1418 10-я Советская ул., д. 26, литера А
4018 1418 Кирилловская ул., д. 15/20, литера А
4019 1418 Кирилловская ул., д. 17, литера А
4020 1418 Кирилловская ул., д. 17, литера Б
4021 1418 Кирилловская ул., д. 23, литера А
4022 1418 Новгородская ул., д. 18, литера А
4023 1418 Новгородская ул., д. 18, литера Б
4024 1419 10-я Советская ул., д. 12/29, литера А
4025 1419 10-я Советская ул., д. 16, литера А
4026 1419 Кирилловская ул., д. 18, литера А
4027 1419 Кирилловская ул., д. 20, литера А
4028 1419 Кирилловская ул., д. 22, литера А
4029 1419 ул. Моисеенко, д. 19, литера А
4030 1419 ул. Моисеенко, д. 23, литера А
4031 1419 ул. Моисеенко, д. 25/24, литера А
4032 1419 ул. Моисеенко, д. 25/24, литера Б
4033 1419 Мытнинская ул., д. 31, литера А
4034 1420 ул. Моисеенко, д. 15-17, литера А
4035 1420 ул. Моисеенко, д. 15-17, литера Б
4036 1421 9-я Советская ул., д. 10-12, литера А
4037 1421 9-я Советская ул., д. 18, литера А
4038 1421 9-я Советская ул., д. 20, литера А
4039 1421 ул. Моисеенко, д. 3/14, литера А
4040 1421 ул. Моисеенко, д. 7/40, литера Б
4041 1422 8-я Советская ул., д. 4, литера А
4042 1422 8-я Советская ул., д. 10, литера А
4043 1422 8-я Советская ул., д. 12, литера А
4044 1422 9-я Советская ул., д. 3, строение 1 (восстановленный объем)
4045 1422 9-я Советская ул., д. 7, литера А
4046 1422 Греческий пр., д. 29, литера А
4047 1422 Греческий пр., д. 29, литера Е
4048 1423 7-я Советская ул., д. 10-12, литера А
4049 1423 8-я Советская ул., д. 5, литера А
4050 1423 8-я Советская ул., д. 15/24, литера А
4051 1423 Греческий пр., д. 23, литера А
4052 1423 Греческий пр., д. 25, литера А
4053 1425 6-я Советская ул., д. 6, литера А
4054 1425 6-я Советская ул., д. 8, литера А
4055 1425 7-я Советская ул., д. 3, литера А
4056 1425 7-я Советская ул., д. 5, литера Б
4057 1426 7-я Советская ул., д. 22, литера А
4058 1426 7-я Советская ул., д. 26, литера А
4059 1426 7-я Советская ул., д. 30, литера А
4060 1426 8-я Советская ул., д. 25, литера А
4061 1427 8-я Советская ул., д. 16/25, литера А (часть здания)
4062 1427 8-я Советская ул., д. 18, литера А
4063 1427 8-я Советская ул., д. 20-22, литера А
4064 1427 8-я Советская ул., д. 24, литера А
4065 1427 8-я Советская ул., д. 28, литера А
4066 1427 9-я Советская ул., д. 19, корп. 1, литера А
4067 1427 9-я Советская ул., д. 19, корп. 2, литера Б
4068 1427 9-я Советская ул., д. 21, литера А
4069 1427 9-я Советская ул., д. 23, литера А
4070 1428 8-я Советская ул., д. 32, литера А
4071 1428 8-я Советская ул., д. 36, литера А
4072 1428 8-я Советская ул., д. 38, литера А
4073 1428 8-я Советская ул., д. 40, литера А
4074 1428 8-я Советская ул., д. 42, литера А
4075 1428 8-я Советская ул., д. 44, литера А
4076 1428 8-я Советская ул., д. 46, литера А
4077 1428 Дегтярная ул., д. 31, литера А
4078 1429 9-я Советская ул., д. 22, литера А (часть здания)
4079 1429 9-я Советская ул., д. 24, литера А
4080 1429 9-я Советская ул., д. 24, литера Б
4081 1429 9-я Советская ул., д. 28, литера А
4082 1429 9-я Советская ул., д. 30, литера А
4083 1429 9-я Советская ул., д. 30, литера Б
4084 1429 9-я Советская ул., д. 32/26, литера А
4085 1429 10-я Советская ул., д. 11, литера А
4086 1429 10-я Советская ул., д. 13, литера А
4087 1429 10-я Советская ул., д. 13, литера Б
4088 1430 8-я Советская ул., д. 50, литера А
4089 1430 8-я Советская ул., д. 52, литера А
4090 1430 10-я Советская ул., д. 15/27, литера А
4091 1430 10-я Советская ул., д. 21, литера А
4092 1430 Кирилловская ул., д. 12, литера Б
4093 1430 Кирилловская ул., д. 14, литера А
4094 1431 8-я Советская ул., д. 56, литера А
4095 1431 8-я Советская ул., д. 60, литера А
4096 1431 8-я Советская ул., д. 62, литера А
4097 1431 Кирилловская ул., д. 11, литера А
4098 1431 Кирилловская ул., д. 13, литера А
4099 1455 пр. Бакунина, д. 29, литера А
4100 1455 пр. Бакунина, д. 31, литера А
4101 1455 Синопская наб., д. 24, литера А
4102 1455 Синопская наб., д. 26, литера А (часть здания)
4103 1455 Синопская наб., д. 28, литера А (часть здания)
4104 1455 Синопская наб., д. 30, литера А
4105 1455 Синопская наб., д. 30, литера Б
4106 1455А пр. Бакунина, д. 17, литера А
4107 1455А пр. Бакунина, д. 19-25, литера А
4108 1455А пр. Бакунина, д. 19-25, литера Т
4109 1455А Исполкомская ул., д. 16, литера А
4110 1455А Перекупной пер., д. 15-17, литера А
4111 1455А Перекупной пер., д. 15-17, литера З
4112 1455А Херсонская ул., д. 6/13, литера А
4113 1455А Херсонская ул., д. 8, литера А
4114 1455А Херсонская ул., д. 10, литера А
4115 1457 8-я Советская ул., д. 53/3, литера А
4116 1457 8-я Советская ул., д. 57, литера А
4117 1457 Кирилловская ул., д. 1, литера А
4118 1457 Старорусская ул., д. 14, литера А
4119 1458 8-я Советская ул., д. 51/8, литера А
4120 1458 Кирилловская ул., д. 6, литера А
4121 1458 Мытнинская ул., д. 7, литера А
4122 1458 Мытнинская ул., д. 9, литера А
4123 1458 Мытнинская ул., д. 13, литера А
4124 1458 Мытнинская ул., д. 15, литера А
4125 1459 7-я Советская ул., д. 38, литера А
4126 1459 7-я Советская ул., д. 42, литера Б
4127 1459 8-я Советская ул., д. 31/27, литера А
4128 1459 8-я Советская ул., д. 33, литера А
4129 1459 8-я Советская ул., д. 41, литера А
4130 1459 8-я Советская ул., д. 43/20, литера А
4131 1459 Мытнинская ул., д. 18, литера А
4132 1460 6-я Советская ул., д. 20, литера А
4133 1460 6-я Советская ул., д. 22/22, литера А
4134 1460 7-я Советская ул., д. 21, литера А
4135 1460 Красноборский пер., д. 7-9, литера А
4136 1462 6-я Советская ул., д. 18, литера А
4137 1462 7-я Советская ул., д. 15/19, литера А
4138 1462 7-я Советская ул., д. 17, литера А
4139 1462 7-я Советская ул., д. 19, литера А
4140 1462 Суворовский пр., д. 17, литера А
4141 1463 5-я Советская ул., д. 10, литера А
4142 1463 5-я Советская ул., д. 12, литера А
4143 1463 5-я Советская ул., д. 14, литера А
4144 1463 6-я Советская ул., д. 3, литера А
4145 1463 6-я Советская ул., д. 11, литера А
4146 1463 Греческий пр., д. 19, литера А
4147 1463 Суворовский пр., д. 16/13, литера А
4148 1466 4-я Советская ул., д. 4/9, литера А
4149 1466 4-я Советская ул., д. 4/9, литера Б
4150 1466 4-я Советская ул., д. 6, литера А
4151 1466 4-я Советская ул., д. 10, литера А
4152 1466 4-я Советская ул., д. 14, литера А
4153 1466 4-я Советская ул., д. 16/10, литера А (часть здания)
4154 1466 5-я Советская ул., д. 5, литера А
4155 1466 5-я Советская ул., д. 11-13, литера А
4156 1467 5-я Советская ул., д. 24/13, литера А
4157 1467 5-я Советская ул., д. 26, литера А
4158 1467 6-я Советская ул., д. 21/2, литера А
4159 1467 Суворовский пр., д. 15, литера А
4160 1468 5-я Советская ул., д. 28, литера А
4161 1468 Дегтярная ул., д. 18/32, литера А
4162 1468 Дегтярная ул., д. 18а, литера А
4163 1468 Дегтярная ул., д. 20/25, литера А
4164 1469 6-я Советская ул., д. 28, литера А
4165 1469 6-я Советская ул., д. 30, литера А
4166 1469 6-я Советская ул., д. 32, литера А
4167 1469 6-я Советская ул., д. 34, литера А
4168 1469 7-я Советская ул., д. 31, литера А
4169 1469 7-я Советская ул., д. 35-37, литера А
4170 1469 Мытнинская ул., д. 16, литера А
4171 1470 5-я Советская ул., д. 38, литера А
4172 1470 5-я Советская ул., д. 40, литера А
4173 1470 5-я Советская ул., д. 42, литера А
4174 1470 6-я Советская ул., д. 29, литера А
4175 1470 6-я Советская ул., д. 31, литера А
4176 1470 6-я Советская ул., д. 37, литера А
4177 1470 6-я Советская ул., д. 39, литера А
4178 1470 Дегтярная ул., д. 13, литера А
4179 1470 Дегтярная ул., д. 15, литера А
4180 1470 Мытнинская ул., д. 12/44, литера А
4181 1472 пр. Бакунина, д. 11, литера В
4182 1472 пр. Бакунина, д. 13, литера А
4183 1472 Херсонская ул., д. 2/9, литера А
4184 1472 Херсонская ул., д. 2/9, литера Б
4185 1472 Херсонская ул., д. 4/14, литера Б
4186 1474 4-я Советская ул., д. 34-36, литера А
4187 1474 4-я Советская ул., д. 38, литера А
4188 1474 4-я Советская ул., д. 42, литера А
4189 1474 4-я Советская ул., д. 44, литера А
4190 1474 5-я Советская ул., д. 41, литера А
4191 1474 5-я Советская ул., д. 43, литера А
4192 1474 5-я Советская ул., д. 45, литера А
4193 1474 5-я Советская ул., д. 47, литера А
4194 1474 5-я Советская ул., д. 49/10, литера А
4195 1474 Дегтярная ул., д. 9/32, литера А
4196 1475 4-я Советская ул., д. 20, литера А
4197 1475 4-я Советская ул., д. 22-24, литера А
4198 1475 4-я Советская ул., д. 26, литера А
4199 1475 5-я Советская ул., д. 29, литера А
4200 1475 5-я Советская ул., д. 31-33, литера Б (часть здания)
4201 1476 3-я Советская ул., д. 2/3, литера А (часть здания)
4202 1476 3-я Советская ул., д. 4, литера А
4203 1476 3-я Советская ул., д. 6, литера А
4204 1476 3-я Советская ул., д. 10, литера Б
4205 1476 3-я Советская ул., д. 12, литера А
4206 1476 3-я Советская ул., д. 14, литера Б
4207 1476 3-я Советская ул., д. 16, литера А
4208 1476 4-я Советская ул., д. 11, литера А
4209 1476 4-я Советская ул., д. 15, литера А
4210 1476 4-я Советская ул., д. 17/8, литера А
4211 1476 Греческий пр., д. 5, литера А
4212 1476 Греческий пр., д. 7/3, литера А
4213 1478 2-я Советская ул., д. 4, литера А
4214 1478 2-я Советская ул., д. 4, литера Г
4215 1478 2-я Советская ул., д. 4а, литера А
4216 1479 Суворовский пр., д. 1/8, литера Б
4217 1479 Суворовский пр., д. 3/5, литера А
4218 1480 3-я Советская ул., д. 20/5, литера А (часть здания)
4219 1480 3-я Советская ул., д. 26, литера А
4220 1480 3-я Советская ул., д. 28, литера А
4221 1480 3-я Советская ул., д. 28, литера Б
4222 1480 3-я Советская ул., д. 32, литера А
4223 1480 4-я Советская ул., д. 21, литера А
4224 1480 4-я Советская ул., д. 23, литера А
4225 1480 4-я Советская ул., д. 25, литера А
4226 1480 4-я Советская ул., д. 27, литера А
4227 1480 4-я Советская ул., д. 29, литера А
4228 1480 Дегтярная ул., д. 8а, литера Б
4229 1480 Суворовский пр., д. 7/19, литера А
4230 1481 3-я Советская ул., д. 38, литера А
4231 1481 3-я Советская ул., д. 40, литера А
4232 1481 4-я Советская ул., д. 37, литера А
4233 1481 4-я Советская ул., д. 41, литера А
4234 1481 4-я Советская ул., д. 43, литера А
4235 1481 Дегтярная ул., д. 5-7, литера А
4236 1481 Дегтярная ул., д. 5-7, литера В
4237 1482 2-я Советская ул., д. 18, литера Б
4238 1484 пр. Бакунина, д. 5, литера А
4239 1484 Конная ул., д. 4, литера А
4240 1484 Конная ул., д. 10, литера А
4241 1484 Конная ул., д. 12, литера А
4242 1484 Конная ул., д. 18, литера А
4243 1484 Херсонская ул., д. 5-7, литера А
4244 1485 Исполкомская ул., д. 10, литера З
