2115 3001 Мичуринская ул., д. 1, литера Б
2666 3154 Офицерский пер., д. 4, литера А
2667 3155 Ждановская ул., д. 21, литера А
2668 3155 Ждановская ул., д. 21, литера З
2669 3155 Ждановская ул., д. 23, литера А
2670 3155 Ждановская ул., д. 27, литера А
2671 3155 ул. Красного Курсанта, д. 18, литера А (часть здания)
2672 3155 ул. Красного Курсанта, д. 20, корп. 2, литера Е
2673 3155 ул. Красного Курсанта, д. 20, литера А
2674 3155 ул. Красного курсанта, д. 24, литера А
2675 3155 Петровский пер., д. 4, литера А
2676 3156 ул. Красного Курсанта, д. 23, литера А
2677 3156 ул. Красного Курсанта, д. 25, литера В (часть здания)
2678 3156 Пионерская ул., д. 28, литера А (часть здания)
2679 3156 Пионерская ул., д. 30, литера В
2680 3157 Пионерская ул., д. 43, литера А
2681 3157 Пионерская ул., д. 45, литера А
2682 3157 Пионерская ул., д. 47, литера А
2683 3157 Пионерская ул., д. 51, литера А
2684 3157 Пионерская ул., д. 55, литера А
2685 3159 Пионерская ул., д. 37, литера А
2686 3159 Пионерская ул., д. 39, литера Г
2687 3159 Чкаловский пр., д. 8, литера Б
2688 3161 Б. Зеленина ул., д. 14/18, литера А
2689 3161 Б. Зеленина ул., д. 16, литера А
2690 3161 Б. Зеленина ул., д. 18, литера В
2691 3161 Б. Разночинная ул., д. 17, литера А
2692 3161 Б. Разночинная ул., д. 19, литера А
2693 3161 Б. Разночинная ул., д. 23, литера А
2694 3161 Чкаловский пр., д. 14, литера А
2695 3162 Б. Зеленина ул., д. 15, литера А
2696 3162 Б. Зеленина ул., д. 17, литера А
2697 3162 Б. Зеленина ул., д. 19, литера А
2698 3162 Б. Зеленина ул., д. 23, литера А
2699 3162 Петрозаводская ул., д. 10, литера А
2700 3163 Петрозаводская ул., д. 1/24, литера А
2701 3163 Петрозаводская ул., д. 1/24, литера Б
2702 3163 Петрозаводская ул., д. 11, литера А
2703 3163 Петрозаводская ул., д. 3, литера А
2704 3163 Петрозаводская ул., д. 9, литера А
2705 3163 Пудожская ул., д. 4а, литера А
2706 3163 Пудожская ул., д. 8/9, литера А
2707 3163 Чкаловский пр., д. 26, литера А
2708 3163 Чкаловский пр., д. 28, литера А
2709 3163 Чкаловский пр., д. 32/2, литера А
2710 3164 Газовая ул., д. 4, литера А
2711 3164 Пудожская ул., д. 5, литера А
2712 3165 Газовая ул., д. 1а, литера А
2713 3165 Газовая ул., д. 7, литера А
2714 3165 ул. Ленина, д. 48, литера А
2715 3165 ул. Ленина, д. 48, литера Б
2716 3165 ул. Ленина, д. 50, литера А
2717 3165 Пудожская ул., д. 3а, литера Б
2718 3165 Чкаловский пр., д. 34, литера А
2719 3165 Чкаловский пр., д. 38, литера А
2720 3166 Левашовский пр., д. 2, литера А
2721 3166 Левашовский пр., д. 4, литера А
2722 3166 ул. Ленина, д. 45, литера А
2723 3166 ул. Ленина, д. 49, литера А
2724 3166 ул. Ленина, д. 51, литера А
2725 3166 ул. Ленина, д. 53, литера А
2726 3167 Чкаловский пр., д. 54, литера А
2727 3167 Чкаловский пр., д. 56, литера А
2728 3168 Каменноостровский пр., д. 52, литера А
2729 3168 Каменноостровский пр., д. 52, литера Б (часть здания)
2730 3168 наб. р. Карповки, д. 39, корп. 2, литера А
2731 3168 наб. р. Карповки, д. 39, литера Б
2732 3168 наб. р. Карповки, д. 43, литера А
2733 3168 ул. Профессора Попова, д. 26, литера А
2734 3168 ул. Профессора Попова, д. 30, литера А
2735 3168 ул. Профессора Попова, д. 32, литера А
2736 3170 ул. Академика Павлова, д. 14, литера А
2737 3170 ул. Академика Павлова, д. 14а, литера А
2738 3170 ул. Академика Павлова, д. 16б, литера А
2739 3170 ул. Профессора Попова, д. 23, литера В
2740 3170 ул. Чапыгина, д. 11, литера А
2741 3171 ул. Академика Павлова, д. 5, литера Е
2742 3171 ул. Академика Павлова, д. 7а, литера Н
2743 3174 ул. Всеволода Вишневского, д. 12а, литера Д
2744 3174 ул. Всеволода Вишневского, д. 14, литера А
2745 3174 ул. Всеволода Вишневского, д. 16, литера Б
2746 3174 ул. Всеволода Вишневского, д. 20, литера А
2747 3174 Газовая ул., д. 15, литера А
2748 3174 наб. р. Карповки, д. 34, литера А
2749 3174 наб. р. Карповки, д. 36, литера А
2750 3174 Чкаловский пр., д. 50, литера Ж
2751 3176 Газовая ул., д. 10, литера Ж
2752 3177 Левашовский пр., д. 14, литера А
2753 3177 Левашовский пр., д. 14, литера В
2754 3177 Лодейнопольская ул., д. 10, литера В
2755 3177 Лодейнопольская ул., д. 8, литера А
2756 3178 Барочная ул., д. 3/22, литера А
2757 3178 Б. Зеленина ул., д. 31/1, литера А
2758 3178 Петрозаводская ул., д. 16, литера А
2759 3178 Петрозаводская ул., д. 18, литера А
2760 3179 Б. Зеленина ул., д. 22, литера А
2761 3179 Б. Зеленина ул., д. 24, строение 1 (лицевой фасад по Корпусной ул.)
2762 3179 Б. Зеленина ул., д. 26, литера А
2763 3179 Корпусная ул., д. 28а, литера В
2764 3179 Корпусная ул., д. 28г, литера А
2765 3180 Корпусная ул., д. 18, литера А
2766 3180 М. Зеленина ул., д. 6, литера Б
2767 3181 Пионерская ул., д. 65, литера А
2768 3184 ул. Красного Курсанта, д. 43, литера А
2769 3184 ул. Красного Курсанта, д. 43, литера Б
2770 3184 ул. Красного Курсанта, д. 45, литера А
2771 3185 Ждановская ул., д. 33а, литера А
2772 3185 Ждановская ул., д. 35, литера А
2773 3185 Ждановская ул., д. 35, литера Б
2774 3185 Петровский пер., д. 3, литера А
2775 3189 Ремесленная ул., д. 5, литера А
2776 3189 Ремесленная ул., д. 7, литера А
2777 3189 Ремесленная ул., д. 7, литера Л2
2778 3190 Ждановская ул., д. 43, литера А
2779 3190 ул. Красного Курсанта, д. 51, литера А
2780 3190 Новоладожская ул., д. 4, корп. 1, литера П
2781 3190 Пионерская ул., д. 46, литера А
2782 3190 Пионерская ул., д. 48, литера А
2783 3190А Новоладожская ул., д. 12, литера А
2784 3198 наб. Адмирала Лазарева, д. 16, литера А
2785 3199 Б. Зеленина ул., д. 44/6, литера А
2786 3199 Резная ул., д. 19/8, литера А
2787 3200 Б. Зеленина ул., д. 32, литера А
2788 3200 Б. Зеленина ул., д. 36, литера А
2789 3200 Резная ул., д. 15/4, литера А
2790 3201 Барочная ул., д. 4, литера Е
2791 3201 Барочная ул., д. 8, литера А
2792 3201 Б. Зеленина ул., д. 39, литера Б
2793 3201 Б. Зеленина ул., д. 41, литера А
2794 3201 Левашовский пр., д. 24, литера А
2795 3204 ул. Профессора Попова, д. 38, литера И
2796 3207 Вяземский пер., д. 4, литера А
2797 3207 Песочная наб., д. 16, литера А
2798 3207 ул. Профессора Попова, д. 37, литера Б
2799 3207А Песочная наб., д. 4, литера А
2800 3207А ул. Профессора Попова, д. 33, литера А
2801 3212 Петровский пр., д. 20, корп. 1, литера М
2802 3212 Петровский пр., д. 22, литера М
2803 3219 Вязовая ул., д. 15, литера А
2804 3243 Крестовский пр., д. 4, литера Б
2805 3247 Константиновский пр., д. 1/24, литера А
2806 3247 Константиновский пр., д. 3, литера А
2807 3263 Константиновский пр., д. 20а, литера А
2808 3266 пр. Динамо, д. 44, литера Ж
2809 3266 пр. Динамо, д. 44, литера Я
2810 3269 Константиновский пр., д. 26, литера А (часть здания)
2811 3280 Кемская ул., д. 8/3, литера А
2812 3299 Аптекарский пр., д. 10, литера А
2813 3299 Аптекарский пр., д. 8, литера А
2814 3299 Аптекарский пр., д. 8а, литера А
2815 3299 ул. Профессора Попова, д. 7, литера А
